match_id,season,team,player,runs,balls,fours,sixes,strike_rate,dismissal
1,2020,Royal Challengers Bangalore,Virat Kohli,29,32,1,1,90.62,run out
1,2020,Royal Challengers Bangalore,Faf du Plessis,46,51,2,2,90.2,bowled
1,2020,Royal Challengers Bangalore,Glenn Maxwell,34,54,0,2,62.96,bowled
1,2020,Royal Challengers Bangalore,Dinesh Karthik,68,75,1,3,90.67,run out
1,2020,Royal Challengers Bangalore,Harshal Patel,17,37,0,1,45.95,caught
1,2020,Royal Challengers Bangalore,Mohammed Siraj,7,8,0,0,87.5,lbw
1,2020,Royal Challengers Bangalore,Wanindu Hasaranga,2,8,0,0,25.0,run out
1,2020,Royal Challengers Bangalore,Shahbaz Ahmed,17,29,1,0,58.62,lbw
1,2020,Sunrisers Hyderabad,Kane Williamson,17,24,1,1,70.83,not out
1,2020,Sunrisers Hyderabad,Abhishek Sharma,51,62,1,1,82.26,not out
1,2020,Sunrisers Hyderabad,Heinrich Klaasen,31,33,0,0,93.94,bowled
1,2020,Sunrisers Hyderabad,Aiden Markram,20,25,2,1,80.0,not out
1,2020,Sunrisers Hyderabad,Bhuvneshwar Kumar,0,4,0,0,0.0,not out
1,2020,Sunrisers Hyderabad,T Natarajan,2,19,0,0,10.53,not out
1,2020,Sunrisers Hyderabad,Washington Sundar,2,22,0,0,9.09,lbw
1,2020,Sunrisers Hyderabad,Marco Jansen,2,15,0,0,13.33,caught
2,2020,Rajasthan Royals,Sanju Samson,80,81,3,0,98.77,caught
2,2020,Rajasthan Royals,Jos Buttler,42,44,4,0,95.45,lbw
2,2020,Rajasthan Royals,Yashasvi Jaiswal,42,57,1,2,73.68,bowled
2,2020,Rajasthan Royals,Devdutt Padikkal,9,27,0,0,33.33,run out
2,2020,Rajasthan Royals,Trent Boult,0,2,0,0,0.0,run out
2,2020,Rajasthan Royals,Yuzvendra Chahal,0,4,0,0,0.0,caught
2,2020,Rajasthan Royals,Shimron Hetmyer,0,1,0,0,0.0,caught
2,2020,Rajasthan Royals,Ravichandran Ashwin,0,2,0,0,0.0,not out
2,2020,Chennai Super Kings,MS Dhoni,57,61,3,1,93.44,lbw
2,2020,Chennai Super Kings,Ruturaj Gaikwad,59,66,0,3,89.39,not out
2,2020,Chennai Super Kings,Devon Conway,12,13,0,0,92.31,bowled
2,2020,Chennai Super Kings,Ambati Rayudu,21,34,1,1,61.76,bowled
2,2020,Chennai Super Kings,Ravindra Jadeja,25,26,0,1,96.15,caught
2,2020,Chennai Super Kings,Deepak Chahar,12,20,1,0,60.0,run out
2,2020,Chennai Super Kings,Moeen Ali,8,23,0,0,34.78,lbw
2,2020,Chennai Super Kings,Mitchell Santner,1,7,0,0,14.29,lbw
3,2020,Sunrisers Hyderabad,Kane Williamson,38,57,0,2,66.67,not out
3,2020,Sunrisers Hyderabad,Abhishek Sharma,38,41,1,1,92.68,caught
3,2020,Sunrisers Hyderabad,Heinrich Klaasen,13,30,0,0,43.33,lbw
3,2020,Sunrisers Hyderabad,Aiden Markram,26,36,0,1,72.22,not out
3,2020,Sunrisers Hyderabad,Bhuvneshwar Kumar,31,39,0,0,79.49,run out
3,2020,Sunrisers Hyderabad,T Natarajan,8,9,0,0,88.89,bowled
3,2020,Sunrisers Hyderabad,Washington Sundar,4,9,0,0,44.44,not out
3,2020,Sunrisers Hyderabad,Marco Jansen,3,3,0,0,100.0,bowled
3,2020,Rajasthan Royals,Sanju Samson,69,70,6,2,98.57,not out
3,2020,Rajasthan Royals,Jos Buttler,70,74,6,1,94.59,caught
3,2020,Rajasthan Royals,Yashasvi Jaiswal,9,20,0,0,45.0,bowled
3,2020,Rajasthan Royals,Devdutt Padikkal,3,6,0,0,50.0,not out
3,2020,Rajasthan Royals,Trent Boult,5,9,0,0,55.56,bowled
3,2020,Rajasthan Royals,Yuzvendra Chahal,0,1,0,0,0.0,run out
3,2020,Rajasthan Royals,Shimron Hetmyer,0,3,0,0,0.0,run out
3,2020,Rajasthan Royals,Ravichandran Ashwin,0,1,0,0,0.0,bowled
4,2020,Rajasthan Royals,Sanju Samson,38,54,2,2,70.37,run out
4,2020,Rajasthan Royals,Jos Buttler,41,53,2,2,77.36,bowled
4,2020,Rajasthan Royals,Yashasvi Jaiswal,12,25,1,0,48.0,not out
4,2020,Rajasthan Royals,Devdutt Padikkal,36,45,3,2,80.0,caught
4,2020,Rajasthan Royals,Trent Boult,4,13,0,0,30.77,not out
4,2020,Rajasthan Royals,Yuzvendra Chahal,5,19,0,0,26.32,bowled
4,2020,Rajasthan Royals,Shimron Hetmyer,2,17,0,0,11.76,lbw
4,2020,Rajasthan Royals,Ravichandran Ashwin,0,5,0,0,0.0,bowled
4,2020,Mumbai Indians,Rohit Sharma,39,46,1,0,84.78,caught
4,2020,Mumbai Indians,Ishan Kishan,5,12,0,0,41.67,run out
4,2020,Mumbai Indians,Suryakumar Yadav,53,73,4,1,72.6,run out
4,2020,Mumbai Indians,Hardik Pandya,63,75,1,1,84.0,caught
4,2020,Mumbai Indians,Kieron Pollard,6,19,0,0,31.58,not out
4,2020,Mumbai Indians,Jasprit Bumrah,29,30,2,0,96.67,caught
4,2020,Mumbai Indians,Tilak Varma,3,7,0,0,42.86,run out
4,2020,Mumbai Indians,Tim David,1,20,0,0,5.0,bowled
5,2020,Chennai Super Kings,MS Dhoni,51,56,3,1,91.07,not out
5,2020,Chennai Super Kings,Ruturaj Gaikwad,68,68,3,4,100.0,not out
5,2020,Chennai Super Kings,Devon Conway,3,5,0,0,60.0,run out
5,2020,Chennai Super Kings,Ambati Rayudu,23,24,1,1,95.83,lbw
5,2020,Chennai Super Kings,Ravindra Jadeja,13,27,1,0,48.15,run out
5,2020,Chennai Super Kings,Deepak Chahar,8,21,0,0,38.1,run out
5,2020,Chennai Super Kings,Moeen Ali,0,5,0,0,0.0,bowled
5,2020,Chennai Super Kings,Mitchell Santner,19,39,0,0,48.72,caught
5,2020,Kolkata Knight Riders,Shreyas Iyer,31,37,0,2,83.78,bowled
