match_id,season,team,bowler,overs,runs_given,wickets,economy,maidens
1,2020,Sunrisers Hyderabad,T Natarajan,3.9,28,1,7.18,0
1,2020,Sunrisers Hyderabad,Washington Sundar,3.6,31,1,8.61,0
1,2020,Sunrisers Hyderabad,Marco Jansen,2.1,13,0,6.19,1
1,2020,Sunrisers Hyderabad,Mayank Agarwal,2.5,11,2,4.4,1
1,2020,Sunrisers Hyderabad,Umran Malik,1.7,7,0,4.12,0
1,2020,Royal Challengers Bangalore,Mohammed Siraj,3.2,16,1,5.0,0
1,2020,Royal Challengers Bangalore,Wanindu Hasaranga,3.0,22,2,7.33,1
1,2020,Royal Challengers Bangalore,Shahbaz Ahmed,3.9,24,2,6.15,1
1,2020,Royal Challengers Bangalore,Anuj Rawat,4.0,57,2,14.25,1
1,2020,Royal Challengers Bangalore,Josh Hazlewood,3.7,40,0,10.81,0
2,2020,Chennai Super Kings,Deepak Chahar,1.2,13,3,10.83,0
2,2020,Chennai Super Kings,Moeen Ali,1.2,12,0,10.0,0
2,2020,Chennai Super Kings,Mitchell Santner,1.2,5,1,4.17,1
2,2020,Chennai Super Kings,Shivam Dube,1.4,13,1,9.29,0
2,2020,Chennai Super Kings,Tushar Deshpande,2.9,21,2,7.24,1
2,2020,Rajasthan Royals,Yuzvendra Chahal,1.6,15,2,9.38,0
2,2020,Rajasthan Royals,Shimron Hetmyer,1.8,6,2,3.33,1
2,2020,Rajasthan Royals,Ravichandran Ashwin,1.9,5,0,2.63,1
2,2020,Rajasthan Royals,Riyan Parag,2.9,26,0,8.97,0
2,2020,Rajasthan Royals,Prasidh Krishna,2.6,24,2,9.23,0
3,2020,Rajasthan Royals,Yuzvendra Chahal,3.4,41,2,12.06,1
3,2020,Rajasthan Royals,Shimron Hetmyer,3.5,26,1,7.43,0
3,2020,Rajasthan Royals,Ravichandran Ashwin,3.0,37,2,12.33,1
3,2020,Rajasthan Royals,Riyan Parag,3.6,29,2,8.06,1
3,2020,Rajasthan Royals,Prasidh Krishna,3.0,33,0,11.0,0
3,2020,Sunrisers Hyderabad,T Natarajan,3.6,28,1,7.78,1
3,2020,Sunrisers Hyderabad,Washington Sundar,1.1,13,3,11.82,1
3,2020,Sunrisers Hyderabad,Marco Jansen,3.2,32,3,10.0,0
3,2020,Sunrisers Hyderabad,Mayank Agarwal,2.2,26,1,11.82,1
3,2020,Sunrisers Hyderabad,Umran Malik,1.1,10,0,9.09,0
4,2020,Mumbai Indians,Jasprit Bumrah,3.2,42,3,13.12,1
4,2020,Mumbai Indians,Tilak Varma,3.3,29,3,8.79,0
4,2020,Mumbai Indians,Tim David,1.8,5,2,2.78,0
4,2020,Mumbai Indians,Piyush Chawla,1.8,9,0,5.0,0
4,2020,Mumbai Indians,Arjun Tendulkar,1.5,10,1,6.67,0
4,2020,Rajasthan Royals,Yuzvendra Chahal,1.2,10,2,8.33,1
4,2020,Rajasthan Royals,Shimron Hetmyer,2.2,14,3,6.36,1
4,2020,Rajasthan Royals,Ravichandran Ashwin,3.7,13,3,3.51,1
4,2020,Rajasthan Royals,Riyan Parag,1.0,9,2,9.0,1
4,2020,Rajasthan Royals,Prasidh Krishna,3.6,38,1,10.56,1
5,2020,Kolkata Knight Riders,Rinku Singh,1.2,14,2,11.67,0
5,2020,Kolkata Knight Riders,Nitish Rana,3.5,43,0,12.29,1
5,2020,Kolkata Knight Riders,Varun Chakravarthy,3.9,41,1,10.51,1
5,2020,Kolkata Knight Riders,Tim Southee,1.5,12,2,8.0,1
5,2020,Kolkata Knight Riders,Umesh Yadav,2.4,26,2,10.83,1
5,2020,Chennai Super Kings,Deepak Chahar,3.6,17,2,4.72,1
5,2020,Chennai Super Kings,Moeen Ali,1.7,11,3,6.47,1
5,2020,Chennai Super Kings,Mitchell Santner,1.1,9,1,8.18,1
5,2020,Chennai Super Kings,Shivam Dube,1.6,8,2,5.0,1
5,2020,Chennai Super Kings,Tushar Deshpande,3.6,29,0,8.06,0
6,2020,Sunrisers Hyderabad,T Natarajan,1.4,10,1,7.14,1
6,2020,Sunrisers Hyderabad,Washington Sundar,2.4,22,2,9.17,1
6,2020,Sunrisers Hyderabad,Marco Jansen,1.9,13,0,6.84,0
6,2020,Sunrisers Hyderabad,Mayank Agarwal,3.8,25,1,6.58,1
6,2020,Sunrisers Hyderabad,Umran Malik,3.0,22,1,7.33,0
6,2020,Chennai Super Kings,Deepak Chahar,2.7,13,0,4.81,1
6,2020,Chennai Super Kings,Moeen Ali,2.4,27,3,11.25,1
6,2020,Chennai Super Kings,Mitchell Santner,1.1,8,2,7.27,1
6,2020,Chennai Super Kings,Shivam Dube,1.2,7,2,5.83,0
6,2020,Chennai Super Kings,Tushar Deshpande,2.3,25,1,10.87,0
7,2020,Sunrisers Hyderabad,T Natarajan,1.0,10,0,10.0,0
7,2020,Sunrisers Hyderabad,Washington Sundar,4.0,23,3,5.75,0
7,2020,Sunrisers Hyderabad,Marco Jansen,2.9,12,3,4.14,1
